business_date,run_age_bd,daily_dir_size_bytes,daily_file_count,day_completion_status,total_elapsed_seconds,elapsed_market_refresh_seconds,elapsed_morning_seconds,elapsed_sell_planning_seconds,elapsed_data_readiness_seconds,elapsed_submit_seconds,elapsed_execution_seconds,elapsed_current_valuation_refresh_seconds,elapsed_runtime_state_refresh_seconds,regime,market_trend_state,breadth_state,confidence,equity,daily_pnl,daily_return,cash,market_value,exposure,position_count,pc_member_count,bq_positive_count,capitalized_pc_member_count,prior_exit_lineage_row_count,reentry_suppressed_count,old_gt120bd_reentry_suppressed_count,unknown_context_reentry_suppressed_count,prior_exit_target_zero_count,positive_add_count
2024-06-11,415,232012841,126,PASS,221.031569,140.899168,33.963821,4.685855,2.694316,28.813636,3.243635,4.556905,2.174233,RANGE,RANGE,NEUTRAL,0.989796893668,1144780.0,-152100.0,-0.11728148,,1144780.0,1.0,9,53,43,9,39,39,17,10,39,0
2024-06-12,416,231599923,126,PASS,248.235527,142.030099,42.722367,3.666853,2.692001,47.12169,3.307469,4.573928,2.12112,RECOVERY,RECOVERY,NEUTRAL,0.99144295302,1309780.0,165000.0,0.1441325,,1309780.0,1.0,12,53,44,12,40,38,16,10,38,0
2024-06-13,417,229287668,126,PASS,233.282962,141.044727,37.551015,4.222932,2.788567,37.579225,3.28481,4.673296,2.13839,RECOVERY,RECOVERY,NEUTRAL,0.990608528989,1361380.0,51600.0,0.03939593,,1361380.0,1.0,12,52,43,12,38,38,16,9,38,0
2024-06-14,418,221358322,126,PASS,262.059361,142.427826,43.222903,5.782579,2.770991,57.814906,3.379497,4.494571,2.166088,RECOVERY,RECOVERY,NEUTRAL,0.987801384579,1952830.0,591450.0,0.43444887,591450.0,1361380.0,0.697132,10,53,39,10,39,39,17,8,39,0
2024-06-17,419,221688067,126,PASS,225.010053,143.130646,34.372165,5.710359,2.674714,29.148449,3.250126,4.580405,2.143189,CORRECTION,CORRECTION,NEUTRAL,0.989845422117,991250.0,-961580.0,-0.49240333,,991250.0,1.0,9,53,43,9,41,41,18,9,41,0
2024-06-18,420,228753713,126,PASS,236.740733,143.175423,36.595081,5.219678,2.757328,39.077616,3.277457,4.510418,2.127732,RECOVERY,RECOVERY,NEUTRAL,0.989935298347,730940.0,-260310.0,-0.26260782,,730940.0,1.0,7,53,44,7,43,43,18,8,43,0
2024-06-19,421,218768250,126,PASS,247.136027,141.786768,39.938904,4.837509,2.727387,48.007183,3.291004,4.442822,2.10445,RECOVERY,RECOVERY,NEUTRAL,0.986987607245,1915000.0,1184060.0,1.61991408,1184060.0,730940.0,0.381692,6,52,43,6,42,41,18,8,41,0
2024-06-20,422,219763004,126,PASS,223.508323,142.654855,35.510938,4.165931,2.626576,28.593703,3.280218,4.531049,2.145053,RECOVERY,RECOVERY,NEUTRAL,0.987965616046,798520.0,-1116480.0,-0.58301828,,798520.0,1.0,7,52,48,7,41,41,17,8,41,0
2024-06-21,423,228202928,126,PASS,223.221556,141.97927,34.360963,5.150206,2.681948,29.118521,3.23221,4.579128,2.11931,RECOVERY,RECOVERY,NEUTRAL,0.987651966627,696360.0,-102160.0,-0.12793668,,696360.0,1.0,6,52,42,6,40,40,17,8,40,0
2024-06-24,424,228073966,126,PASS,251.018427,143.67128,42.085967,4.196641,2.797883,48.172697,3.342776,4.594857,2.156326,BULL,BULL,NEUTRAL,0.989527428164,933120.0,236760.0,0.33999655,,933120.0,1.0,7,52,44,7,41,41,17,9,41,0
2024-06-25,425,223921187,126,PASS,252.10242,143.625501,42.02481,4.317789,2.717861,49.371678,3.416272,4.47915,2.149359,BULL,BULL,STRONG,0.985049833887,1934920.0,1001800.0,1.07360254,1001800.0,933120.0,0.482252,8,52,47,8,39,38,17,8,38,0
2024-06-26,426,223216192,126,PASS,252.27174,144.37107,41.584083,4.79817,2.679157,48.670189,3.360664,4.688857,2.11955,BULL,BULL,STRONG,0.987541528239,1200170.0,-734750.0,-0.37973146,,1200170.0,1.0,9,52,41,9,40,39,17,7,39,0
2024-06-27,427,224391484,126,PASS,264.752774,145.806,40.636818,5.403015,2.718503,60.261718,3.385752,4.43788,2.103088,BULL,BULL,STRONG,0.984366832977,1956870.0,756700.0,0.63049401,756700.0,1200170.0,0.613311,8,52,44,8,40,40,18,8,40,0
2024-06-28,428,224143327,126,PASS,224.502692,144.383867,33.960201,4.189141,2.610329,29.387649,3.251418,4.583548,2.136539,BULL,BULL,STRONG,0.986720417358,743160.0,-1213710.0,-0.62023027,,743160.0,1.0,7,51,40,7,39,39,18,6,39,0
2024-07-01,429,229720147,126,PASS,250.920027,143.664623,41.971813,3.680362,2.727645,48.799888,3.33225,4.616104,2.127342,BULL,BULL,STRONG,0.987728026534,804510.0,61350.0,0.08255288,,804510.0,1.0,8,50,43,8,37,35,16,6,35,0
2024-07-02,430,223910037,126,PASS,242.534932,146.237432,39.998325,4.26624,2.838611,39.10331,3.301016,4.601338,2.18866,BULL,BULL,STRONG,0.986235489221,1036340.0,231830.0,0.28816298,,1036340.0,1.0,10,50,37,10,33,32,15,5,32,0
2024-07-03,431,231707129,126,PASS,257.771173,147.329869,43.747017,5.300553,2.736091,48.535748,3.345381,4.637568,2.138946,BULL,BULL,STRONG,0.988200379867,1632370.0,596030.0,0.57512978,,1632370.0,1.0,13,51,40,13,36,35,17,12,35,0
2024-07-04,432,235722011,126,PASS,252.497199,145.649359,40.039243,4.924215,2.832718,48.905537,3.337404,4.62439,2.184333,BULL,BULL,STRONG,0.987197149644,1090360.0,-542010.0,-0.33203869,,1090360.0,1.0,10,52,41,10,36,36,17,12,36,0
2024-07-05,433,234009553,126,PASS,256.292613,145.996071,44.530099,3.989376,2.795903,48.765311,3.385666,4.675627,2.15456,BULL,BULL,STRONG,0.986069651741,1405510.0,315150.0,0.28903298,,1405510.0,1.0,13,52,45,13,38,36,18,11,36,0
2024-07-08,434,226313135,126,PASS,270.828652,146.658737,45.593255,6.519857,2.838336,59.155615,3.391133,4.518308,2.153411,BULL,BULL,STRONG,0.989388915206,1871210.0,465700.0,0.3313388,465700.0,1405510.0,0.751124,12,52,40,13,33,33,16,8,33,0
2024-07-09,435,218483778,126,PASS,242.594995,146.882464,38.887002,4.89069,2.572244,39.47914,3.287538,4.462643,2.133274,BULL,BULL,STRONG,0.988211574953,1894130.0,22920.0,0.01224876,519400.0,1374730.0,0.725784,12,53,39,12,34,34,17,6,34,0
2024-07-10,436,218442283,126,PASS,281.094428,146.666483,45.155004,6.315956,2.584118,70.298842,3.421433,4.498843,2.153749,BULL,BULL,STRONG,0.986173250833,1869570.0,-24560.0,-0.01296638,439500.0,1430070.0,0.764919,9,53,40,9,34,34,14,9,34,0
2024-07-11,437,231694973,126,PASS,268.604048,146.04617,45.970632,4.258637,2.605962,59.440361,3.43145,4.687905,2.162931,BULL,BULL,STRONG,0.985056925996,978750.0,-890820.0,-0.4764839,,978750.0,1.0,11,52,44,11,37,35,14,7,35,0
2024-07-12,438,229729521,126,PASS,258.112456,147.219983,43.187916,5.440711,2.717858,49.508006,3.327893,4.545726,2.164363,BULL,BULL,STRONG,0.988402366864,1887760.0,909010.0,0.92874585,909010.0,978750.0,0.518472,12,52,44,12,37,36,15,10,36,0
2024-07-16,439,222717469,126,PASS,255.084921,147.034819,41.106059,4.343046,2.585036,50.042641,3.319381,4.510033,2.143906,BULL,BULL,STRONG,0.989886309806,1897030.0,9270.0,0.00491058,753710.0,1143320.0,0.602689,11,53,47,11,35,35,16,12,35,0
2024-07-17,440,226038987,126,PASS,274.145124,149.719329,47.131444,4.431117,2.701155,60.092386,3.438505,4.494215,2.136973,BULL,BULL,STRONG,0.985354255825,1900350.0,3320.0,0.0017501,931610.0,968740.0,0.509769,13,53,44,13,34,33,13,10,33,0
2024-07-18,441,224291338,126,PASS,284.632128,148.662865,45.859536,5.9966,2.699308,71.271498,3.460379,4.549349,2.132593,BULL,BULL,STRONG,0.987369420703,1889130.0,-11220.0,-0.00590418,710410.0,1178720.0,0.623949,13,53,39,13,36,35,14,10,35,0
2024-07-19,442,222975120,126,PASS,281.689774,148.811067,43.814836,7.00055,2.609426,69.384898,3.393787,4.528586,2.146624,BULL,BULL,STRONG,0.986688851913,1842300.0,-46830.0,-0.02478919,589850.0,1252450.0,0.67983,11,52,44,11,36,36,15,11,36,0
2024-07-22,443,220448770,126,PASS,284.440165,148.656126,45.347303,6.47194,2.591863,71.253011,3.438249,4.548809,2.132864,RANGE,RANGE,NEUTRAL,0.989033942559,1825760.0,-16540.0,-0.00897791,760650.0,1065110.0,0.583379,8,51,39,8,38,37,15,10,37,0
2024-07-23,444,221690052,126,PASS,258.313834,148.566012,41.719969,5.975731,2.679467,49.354787,3.334234,4.532441,2.151193,RANGE,RANGE,NEUTRAL,0.991168769341,1805280.0,-20480.0,-0.01121725,1170150.0,635130.0,0.351818,7,52,45,7,42,41,15,11,41,0
2024-07-24,445,220150085,126,PASS,273.785091,148.114117,45.403006,5.875433,2.672133,61.401781,3.407793,4.611907,2.298921,CORRECTION,CORRECTION,NEUTRAL,0.989215453899,1802780.0,-2500.0,-0.00138483,1210430.0,592350.0,0.328576,7,51,44,7,41,40,17,10,40,0
